name,equipment,primary_muscle,secondary_muscle,video,thumbnail
"Kettlebell Goblet Squat","Kettlebell","Quadriceps","Glutes, Hamstrings","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/23561201-Kettlebell-Goblet-Squat-(female)_Thighs_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/23561201-Kettlebell-Goblet-Squat-(female)_Thighs_thumbnail_@3x.jpg"
"Kettlebell Halo","Kettlebell","Shoulders","Traps, Upper Back","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/29391201-Kettlebell-Around-Head-Rotation_Back.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/29391201-Kettlebell-Around-Head-Rotation_Back_thumbnail_@3x.jpg"
"Kettlebell High Pull","Kettlebell","Full Body","Traps","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/05481201-Kettlebell-Sumo-High-Pull_Back_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/05481101-Kettlebell-Sumo-High-Pull_back_small_thumbnail@3x.jpg"
"Kettlebell Shoulder Press","Kettlebell","Shoulders","Triceps","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/99571201-Kettlebell-Single-Arm-Shoulder-Press-(male)_Should.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/99571201-Kettlebell-Single-Arm-Shoulder-Press-(male)_Should_thumbnail_@3x.jpg"
"Kettlebell Snatch","Kettlebell","Full Body","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/05421201-Kettlebell-One-Arm-Snatch_Shoulders_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/05421101-Kettlebell-One-Arm-Snatch_Shoulders_small_thumbnail@3x.jpg"
"Kettlebell Swing","Kettlebell","Full Body","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/05491201-Kettlebell-Swing_Hips-FIX_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/05491201-Kettlebell-Swing_Hips-FIX_thumbnail_@3x.jpg"
"Kettlebell Turkish Get Up","Kettlebell","Full Body","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/05511201-Kettlebell-Turkish-Get-Up-(Squat-style)_Thighs.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/05511101-Kettlebell-Turkish-Get-Up-(Squat-style)_Thighs_small_thumbnail@3x.jpg"
"Kipping Pull Up","Machine","Lats","Upper Back, Biceps, Forearms","None","None"
"Knee Raise Parallel Bars","Machine","Abdominals","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/21261201-Captains-chair-leg-raise_Hips.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/21261201-Captains-chair-leg-raise_Hips_thumbnail@3x.jpg"
"Kneeling Pulldown (band)","Machine","Lats","Upper Back, Biceps, Forearms","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/43581201-Band-Knelling-Lat-Pulldown_Back_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/43581201-Band-Knelling-Lat-Pulldown_Back_thumbnail_@3x.jpg"
"Kneeling Push Up","None","Chest","Triceps, Shoulders","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/32111201-Kneeling-Push-up-(male)_Chest.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/32111101-Kneeling-Push-up-(male)_small_thumbnail@3x.jpg"
"L-Sit Hold","None","Abdominals","Triceps","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/14021201-L-sit_Waist.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/14021201-L-sit_Waist_thumbnail@3x.jpg"
"Landmine 180","Barbell","Abdominals","Shoulders, Chest, Upper Back, Traps, Biceps, Forearms","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/05621201-Landmine-180_waist.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/05621201-Landmine-180_waist_thumbnail@3x.jpg"
"Landmine Row","Barbell","Upper Back","Lats, Biceps, Forearms","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/32001201-Lever-Bent-over-Row-with-V-bar-(plate-loaded)_Back.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/32001201-Lever-Bent-over-Row-with-V-bar-(plate-loaded)_Back_thumbnail_@3x.jpg"
"Landmine Squat and Press","Barbell","Full Body","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/29761201-Landmine-Squat-and-Press_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/29761301-Landmine-Squat-and-Press_360_thumbnail@3x.jpg"
"Lat Pulldown (Band)","Resistance Band","Lats","Upper Back, Biceps, Forearms","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/31161201-Band-Fixed-Back-Underhand-Pulldown_Back_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/09741101-Band-close-grip-pulldown_Back_small_thumbnail@3x.jpg"
"Lat Pulldown (Cable)","Machine","Lats","Upper Back, Biceps, Forearms","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/01501201-Cable-Bar-Lateral-Pulldown_Back.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/01501201-Cable-Bar-Lateral-Pulldown_Back_thumbnail@3x.jpg"
"Lat Pulldown (Machine)","Machine","Lats","Upper Back, Biceps, Forearms","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/05791201-Lever-Front-Pulldown_Back.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/05791201-Lever-Front-Pulldown_Back_thumbnail@3x.jpg"
"Lat Pulldown - Close Grip (Cable)","Machine","Lats","Upper Back, Biceps, Forearms","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/63921201-Cable-Lateral-Pulldown-with-Mag-Grip_Back_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/63921201-Cable-Lateral-Pulldown-with-Mag-Grip_Back_thumbnail_@3x.jpg"
"Lateral Band Walks","Resistance Band","Glutes","Abductors","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/24601201-Resistance-Band-Lateral-Walk-(female)_Hips_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/24601101-Resistance-Band-Lateral-Walk_Hips_small_thumbnail@3x.jpg"
"Lateral Box Jump","Other","Quadriceps","Hamstrings, Glutes, Calves","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/05641201-Lateral-Box-Jump-(female)_Plyometrics-FIX_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/05641201-Lateral-Box-Jump-(female)_Plyometrics-FIX_thumbnail_@3x.jpg"
"Lateral Leg Raises","None","Glutes","Abductors","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/86421201-Standing-Single-Side-Leg-Raise-Chair-Supported-(fe.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/86421201-Standing-Single-Side-Leg-Raise-Chair-Supported-(fe_thumbnail_@3x.jpg"
"Lateral Lunge","None","Quadriceps","Hamstrings, Glutes, Abductors","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/29721201-Side-Lunge_Thighs.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/29721201-Side-Lunge_Thighs_thumbnail_@3x.jpg"
"Lateral Raise (Band)","Resistance Band","Shoulders","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/09071201-Band-Lateral-Raise-(female)_Shoulders_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/09071101-Band-lateral-raise_Shoulders_small_thumbnail@3x.jpg"
"Lateral Raise (Cable)","Machine","Shoulders","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/01781201-Cable-Lateral-Raise_shoulder.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/01781201-Cable-Lateral-Raise_shoulder_thumbnail@3x.jpg"
"Lateral Raise (Dumbbell)","Dumbbell","Shoulders","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/03341201-Dumbbell-Lateral-Raise_shoulder.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/03341201-Dumbbell-Lateral-Raise_shoulder_thumbnail@3x.jpg"
"Lateral Raise (Machine)","Machine","Shoulders","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/05841201-Lever-Lateral-Raise_shoulder.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/05841201-Lever-Lateral-Raise_shoulder_thumbnail@3x.jpg"
"Lateral Squat","None","Quadriceps","Hamstrings, Glutes, Abductors","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/69241201-Side-Step-Deep-Squat-(male)_Plyometrics_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/69241201-Side-Step-Deep-Squat-(male)_Plyometrics_thumbnail_@3x.jpg"
"Leg Extension (Machine)","Machine","Quadriceps","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/05851201-Lever-Leg-Extension_Thighs.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/05851201-Lever-Leg-Extension_Thighs_thumbnail@3x.jpg"
"Leg Press (Machine)","Machine","Quadriceps","Glutes, Hamstrings","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/07391201-Sled-45-Leg-Press_Hips.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/07391201-Sled-45-Leg-Press_Hips_thumbnail@3x.jpg"
"Leg Press Horizontal (Machine)","Machine","Quadriceps","Hamstrings, Glutes","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/22671201-Lever-Seated-Leg-Press_Thighs.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/22671201-Lever-Seated-Leg-Press_Thighs_thumbnail@3x.jpg"
"Leg Raise Parallel Bars","Machine","Abdominals","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/29631201-Captains-Chair-Straight-Leg-Raise_Waist-FIX_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/29631101-Captains-Chair-Straight-Leg-Raise_Waist_small_thumbnail@3x.jpg"
"Low Cable Fly Crossovers","Machine","Chest","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/01791201-Cable-Low-Fly_Chest.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/01791201-Cable-Low-Fly_Chest_thumbnail@3x.jpg"
"Low Row (Suspension)","Suspension","Upper Back","Lats, Biceps, Forearms","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/10921201-Suspender-Row-(female)_Back_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/10921101-Suspender-Row_Back_small_thumbnail@3x.jpg"
"Lunge","None","Quadriceps","Hamstrings, Glutes","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/14601201-Walking-Lunge-Male_Hips.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/14601201-Walking-Lunge-Male_Hips_thumbnail@3x.jpg"
"Lunge (Barbell)","Barbell","Quadriceps","Hamstrings, Glutes","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/00541201-Barbell-Lunge_Thighs.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/00541201-Barbell-Lunge_Thighs_thumbnail@3x.jpg"
"Lunge (Dumbbell)","Dumbbell","Quadriceps","Hamstrings, Glutes","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/03361201-Dumbbell-Lunge_Hips.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/03361201-Dumbbell-Lunge_Hips_thumbnail@3x.jpg"
"Lying Knee Raise","None","Abdominals","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/81941201-Lying-Knee-Raise-(male)_Waist_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/81941201-Lying-Knee-Raise-(male)_Waist_thumbnail_@3x.jpg"
"Lying Leg Curl (Machine)","Machine","Hamstrings","Calves","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/05861201-Lever-Lying-Leg-Curl_Thighs.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/05861201-Lever-Lying-Leg-Curl_Thighs_thumbnail@3x.jpg"
"Lying Leg Raise","None","Abdominals","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/11631201-Lying-Leg-Raise_Waist.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/11631201-Lying-Leg-Raise_Waist_thumbnail@3x.jpg"
"Lying Neck Curls","None","Neck","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/101661201-Lying-Neck-Flexion_Neck_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/101661201-Lying-Neck-Flexion_Neck_thumbnail_@3x.jpg"
"Lying Neck Curls (Weighted)","Plate","Neck","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/10431201-Weighted-Lying-Neck-Flexion_neck.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/10431201-Weighted-Lying-Neck-Flexion_neck_thumbnail_@3x.jpg"
"Lying Neck Extension","None","Neck","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/101671201-Lying-Neck-Extension_Neck_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/101671201-Lying-Neck-Extension_Neck_thumbnail_@3x.jpg"
"Lying Neck Extension (Weighted)","Plate","Neck","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/10421201-Weighted-Lying-Neck-Extension_Neck_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/10421101-Weighted-Lying-Neck-Extension_neck_small_thumbnail_@3x.jpg"
"Meadows Rows (Barbell)","Barbell","Upper Back","Lats, Biceps, Forearms","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/40381201-Landmine-One-Arm-Bent-Over-Row_Back_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/40381201-Landmine-One-Arm-Bent-Over-Row_Back_thumbnail_@3x.jpg"
"Mountain Climber","None","Full Body","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/75311201-Plank-Alternate-Knee-Tuck-(female)_Waist_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/75311201-Plank-Alternate-Knee-Tuck-(female)_Waist_thumbnail_@3x.jpg"
"Muscle Up","Machine","Full Body","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/51941201-Bodyweight-Muscle-Up-(VERSION-2)_Back_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/51941201-Bodyweight-Muscle-Up-(VERSION-2)_Back_thumbnail_@3x.jpg"
"Negative Pull Up","None","Lats","Upper Back, Biceps, Forearms","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/47741201-Pull-up-(negative)-(female)_Back_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/47741201-Pull-up-(negative)-(female)_Back__thumbnail_@3x.jpg"
"Nordic Hamstrings Curls","None","Hamstrings","Glutes","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/77461201-Nordic-Hamstring-Curl-(male)_Thighs_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/77461201-Nordic-Hamstring-Curl-(male)_Thighs_thumbnail_@3x.jpg"
"Oblique Crunch","None","Abdominals","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/06351201-Oblique-Crunches-Floor_Waist.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/06351201-Oblique-Crunches-Floor_Waist_thumbnail@3x.jpg"
"One Arm Push Up","None","Chest","Shoulders, Triceps","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/07251201-Single-Arm-Push-up_Chest.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/07251201-Single-Arm-Push-up_Chest_thumbnail@3x.jpg"
"Overhead Curl (Cable)","Machine","Biceps","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/16361201-Cable-Overhead-Curl_Upper-Arms.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/16361201-Cable-Overhead-Curl_Upper-Arms_thumbnail_@3x.jpg"
"Overhead Dumbbell Lunge","Dumbbell","Quadriceps","Hamstrings, Glutes, Shoulders, Triceps, Upper Back","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/50761201-Dumbbell-Overhead-Lunge_Thighs_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/50761201-Dumbbell-Overhead-Lunge_Thighs_thumbnail_@3x.jpg"
"Overhead Plate Raise","Plate","Shoulders","Traps","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/101141201-Weighted-Plate-LU-Raise-(male)_Shoulders_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/101141201-Weighted-Plate-LU-Raise-(male)_Shoulders_thumbnail_@3x.jpg"
"Overhead Press (Barbell)","Barbell","Shoulders","Triceps, Abdominals","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/11651201-Barbell-Standing-Military-Press-(without-rack)_Shoulders.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/11651201-Barbell-Standing-Military-Press-(without-rack)_Shoulders_thumbnail@3x.jpg"
"Overhead Press (Dumbbell)","Dumbbell","Shoulders","Triceps","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/04261201-Dumbbell-Standing-Overhead-Press_shoulder.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/04261201-Dumbbell-Standing-Overhead-Press_shoulder_thumbnail@3x.jpg"
"Overhead Press (Smith Machine)","Machine","Shoulders","Triceps","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/12241201-Smith-Standing-Shoulder-Press_Shoulders.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/12241201-Smith-Standing-Shoulder-Press_Shoulders_thumbnail@3x.jpg"
"Overhead Squat","Barbell","Full Body","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/00691201-Barbell-Overhead-Squat_Thighs-FIX_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/00691201-Barbell-Overhead-Squat_Thighs-FIX_thumbnail_@3x.jpg"
"Overhead Triceps Extension (Cable)","Machine","Triceps","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/01941201-Cable-Overhead-Triceps-Extension-(rope-attachment)_Upper-Arms-FIX_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/01941201-Cable-Overhead-Triceps-Extension-(rope-attachment)_Upper-Arms-FIX_thumbnail_@3x.jpg"
"Partial Glute Bridge (Barbell)","Barbell","Glutes","Hamstrings, Adductors","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/54511201-Barbell-KAS-Glute-Bridge-(female)_Hips_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/54511201-Barbell-KAS-Glute-Bridge-(female)_Hips_thumbnail_@3x.jpg"
"Pause Squat (Barbell)","Barbell","Quadriceps","Glutes, Hamstrings","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/50161201-Barbell-Pause-Full-Squat_Thighs_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/50161201-Barbell-Pause-Full-Squat_Thighs__thumbnail_@3x.jpg"
"Pendlay Row (Barbell)","Barbell","Upper Back","Lats, Biceps, Forearms","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/30171201-Barbell-Pendlay-Row_Back_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/30171201-Barbell-Pendlay-Row_Back_thumbnail_@3x.jpg"
"Pendulum Squat (Machine)","Machine","Quadriceps","Glutes, Hamstrings","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/49511201-Lever-Pendulum-Squat-(plate-loaded)_Thighs_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/49511201-Lever-Pendulum-Squat-(plate-loaded)_Thighs__thumbnail_@3x.jpg"
"Pike Pushup","None","Shoulders","Triceps, Chest","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/29211201-Pike-Push-up_Chest.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/29211101-Pike-Push-up_Chest_small_thumbnail@3x.jpg"
"Pilates","None","Full Body","None","None","None"
"Pinwheel Curl (Dumbbell)","Dumbbell","Biceps","Forearms","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/16571201-Dumbbell-Cross-Body-Hammer-Curl-(Version-2)_Upper-Arms-FIX.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/16571201-Dumbbell-Cross-Body-Hammer-Curl-(Version-2)_Upper-Arms-FIX_thumbnail_@3x.jpg"
"Pistol Squat","None","Quadriceps","Hamstrings, Glutes","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/17591201-Single-Leg-Squat-(pistol)-(male)_Thighs-FIX2_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/17591101-Single-Leg-Squat-(pistol)-male_Thighs_small_thumbnail@3x.jpg"
"Plank","None","Abdominals","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/04631201-Front-Plank-m_waist.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/04631201-Front-Plank-m_waist_thumbnail@3x.jpg"
"Plank Pushup","None","Chest","Shoulders, Triceps, Abdominals","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/29781201-Elbow-Up-and-Down-Dynamic-Plank.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/29781201-Elbow-Up-and-Down-Dynamic-Plank_thumbnail_@3x.jpg"
"Plate Curl","Plate","Biceps","Forearms","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/66981201-Weighted-Plate-Standing-Biceps-Curl-(male)_Forearm.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/66981201-Weighted-Plate-Standing-Biceps-Curl-(male)_Forearm_thumbnail_@3x.jpg"
"Plate Front Raise","Plate","Shoulders","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/08341201-Weighted-Front-Raise_Shoulders.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/08341201-Weighted-Front-Raise_Shoulders_thumbnail@3x.jpg"
"Plate Press","Plate","Chest","Shoulders, Triceps","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/12251201-Standing-Plate-Press_Chest_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/12251101-Standing-Plate-Presses_Shoulders_small_thumbnail@3x.jpg"
"Plate Squeeze (Svend Press)","Plate","Chest","Shoulders, Triceps","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/08561201-Weighted-Svend-Press_Chest.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/08561201-Weighted-Svend-Press_Chest_thumbnail@3x.jpg"
"Power Clean","Barbell","Full Body","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/06481201-Power-Clean_Thighs.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/06481201-Power-Clean_Thighs_thumbnail@3x.jpg"
"Power Snatch","Barbell","Full Body","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/15301201-Barbell-Power-Snatch_Weightlifts_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/15301101-Barbell-Power-Snatch_Weightlifts_small_thumbnail@3x.jpg"
"Preacher Curl (Barbell)","Barbell","Biceps","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/00701201-Barbell-Preacher-Curl_Upper-Arms.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/00701201-Barbell-Preacher-Curl_Upper-Arms_thumbnail@3x.jpg"
"Preacher Curl (Dumbbell)","Dumbbell","Biceps","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/04021201-Dumbbell-Seated-Preacher-Curl_Upper-Arms.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/04021201-Dumbbell-Seated-Preacher-Curl_Upper-Arms_thumbnail@3x.jpg"
"Preacher Curl (Machine)","Machine","Biceps","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/05921201-Lever-Preacher-Curl_Upper-Arms.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/05921201-Lever-Preacher-Curl_Upper-Arms_thumbnail@3x.jpg"
"Press Under","Barbell","Full Body","None","None","None"
"Pull Up","Machine","Lats","Upper Back, Biceps, Forearms","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/06521201-Pull-up_Back.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/06521201-Pull-up_Back_thumbnail@3x.jpg"
"Pull Up (Assisted)","Machine","Lats","Upper Back, Biceps, Forearms","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/00171201-Assisted-Pull-up_Back.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/00171201-Assisted-Pull-up_Back_thumbnail@3x.jpg"
"Pull Up (Band)","Resistance Band","Lats","Upper Back, Biceps, Forearms","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/38441201-Band-Assisted-Pull-Up-(VERSION-3)-(female)_Back.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/38441201-Band-Assisted-Pull-Up-(VERSION-3)-(female)_Back_thumbnail_@3x.jpg"
"Pull Up (Weighted)","Machine","Lats","Upper Back, Biceps, Forearms","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/08411201-Weighted-Pull-Up_Back_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/08411201-Weighted-Pull-Up_Back_thumbnail_@3x.jpg"
"Pullover (Dumbbell)","Dumbbell","Lats","Chest, Upper Back, Triceps","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/03751201-Dumbbell-Pullover_Chest.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/03751201-Dumbbell-Pullover_Chest_thumbnail@3x.jpg"
"Pullover (Machine)","Machine","Lats","Upper Back, Chest, Triceps","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/22851201-Lever-Pullover-(plate-loaded)_Back_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/22851201-Lever-Pullover-(plate-loaded)_Back__thumbnail_@3x.jpg"
"Push Press","Barbell","Shoulders","Triceps, Quadriceps","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/12001201-Push-Press_Shoulders.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/12001201-Push-Press_Shoulders_thumbnail@3x.jpg"
"Push Up","None","Chest","Triceps, Shoulders","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/06621201-Push-up-m_Chest.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/06621201-Push-up-m_Chest_thumbnail@3x.jpg"
"Push Up (Weighted)","None","Chest","Triceps, Shoulders","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/11721201-Assisted-Weighted-Push-up_Chest.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/11721201-Assisted-Weighted-Push-up_Chest_thumbnail@3x.jpg"
